"";"HumanEntrez"
"4719";729440
"4720";63967
"4721";58475
"4722";29923
"4723";56929
"4724";79872
"4725";3512
"4726";157807
"4727";10008
"4728";23287
"4729";406908
"4730";133482
"4731";4163
"4732";153745
"4733";26330
"4734";119749
"4735";10102
"4736";146183
"4737";136541
"4738";597
"4739";10409
"4740";3362
"4741";6940
"4742";79668
"4743";26766
"4744";80833
"4745";80832
"4746";23780
"4747";8542
"4748";10481
"4749";10894
"4750";647087
"4751";389761
"4752";389762
"4753";9158
"4754";10184
"4755";79870
"4756";6457
"4757";85291
"4758";83899
"4759";85280
"4760";83900
"4761";81870
"4762";9141
"4763";84916
"4764";23354
"4765";284654
"4766";51520
"4767";245911
"4768";343641
"4769";9531
"4770";7020
"4771";158471
"4772";54516
"4773";79722
"4774";51226
"4775";23001
"4776";3916
"4777";3680
"4778";51296
"4779";2847
"4780";124989
"4781";8655
"4782";53981
"4783";102
"4784";9255
"4785";314
"4786";10983
"4787";10061
"4788";79690
"4789";158405
"4790";6196
"4791";221481
"4792";11170
"4793";7409
"4794";151354
"4795";9741
"4796";120406
"4797";866
"4798";8681
"4799";4717
"4800";734
"4801";55004
"4802";781
"4803";161582
"4804";7041
"4805";226
"4806";1591
"4807";9929
"4808";23164
"4809";30968
"4810";5586
"4811";23637
"4812";6443
"4813";115004
"4814";5300
"4815";255349
"4816";64963
"4817";79814
"4818";84062
"4819";444
"4820";136306
"4821";1768
"4822";2583
"4823";9315
"4824";442902
"4825";407
"4826";3651
"4827";6167
"4828";286262
"4829";55198
"4830";4211
"4831";3569
"4832";26658
"4833";56852
"4834";56477
"4835";10868
"4836";5332
"4837";145497
"4838";1577
"4839";1551
"4840";6999
"4841";60495
"4842";55690
"4843";84144
"4844";952
"4845";54469
"4846";891
"4847";10131
"4848";1973
"4849";54629
"4850";374308
"4851";28959
"4852";9856
"4853";7317
"4854";83943
"4855";10204
"4856";80045
"4857";5715
"4858";128506
"4859";167838
"4860";1466
"4861";375791
"4862";7357
"4863";66004
"4864";677796
"4865";388553
"4866";6932
"4867";94033
"4868";55819
"4869";23094
"4870";27295
"4871";55713
"4872";800
"4873";810
"4874";441150
"4875";4946
"4876";83547
"4877";10755
"4878";340371
"4879";7336
"4880";389792
"4881";283234
"4882";161142
"4883";388551
"4884";7629
"4885";441549
"4886";406991
"4887";57617
"4888";51110
"4889";5002
"4890";5791
"4891";84067
"4892";23582
"4893";8631
"4894";84303
"4895";4782
"4896";64849
"4897";11250
"4898";246213
"4899";79037
"4900";9736
"4901";339983
"4902";56907
"4903";57099
"4904";22836
"4905";79801
"4906";3758
"4907";8805
"4908";9200
"4909";91894
"4910";238
"4911";406913
"4912";9355
"4913";79017
"4914";4049
"4915";57176
"4916";1112
"4917";4690
"4918";339745
"4919";10975
"4920";10987
"4921";8315
"4922";26047
"4923";996
"4924";7957
"4925";7760
"4926";29944
"4927";55714
"4928";26060
"4929";80108
"4930";84705
"4931";1909
"4932";57084
"4933";2107
"4934";134526
"4935";386746
"4936";2534
"4937";1992
"4938";1158
"4939";2690
"4940";80119
"4941";5528
"4942";4327
"4943";2827
"4944";360203
"4945";203523
"4946";84326
"4947";116512
"4948";26
"4949";91380
"4950";221421
"4951";51025
"4952";653140
"4953";199221
"4954";282616
"4955";8706
"4956";8092
"4957";3977
"4958";55213
"4959";146434
"4960";85442
"4961";673
"4962";253943
"4963";54107
"4964";11151
"4965";135293
"4966";6146
"4967";25
"4968";166785
"4969";54978
"4970";9321
"4971";51166
"4972";2246
"4973";122704
"4974";8434
"4975";25827
"4976";9994
"4977";10147
"4978";6297
"4979";9958
"4980";10776
"4981";3442
"4982";3452
"4983";22887
"4984";2793
"4985";387755
"4986";51176
"4987";113000
"4988";4520
"4989";139212
"4990";58157
"4991";89885
"4992";64788
"4993";57835
"4994";10913
"4995";79607
"4996";7161
"4997";114655
"4998";221424
"4999";133
"5000";137797
"5001";23677
"5002";1031
"5003";677813
"5004";51109
"5005";55561
"5006";3394
"5007";8834
"5008";466
"5009";79738
"5010";27324
"5011";647174
"5012";8748
"5013";3751
"5014";375611
"5015";1054
"5016";389362
"5017";376132
"5018";286053
"5019";4673
"5020";50515
"5021";718
"5022";9409
"5023";6575
"5024";57481
"5025";84530
"5026";57703
"5027";55239
"5028";5805
"5029";403277
"5030";51747
"5031";84061
"5032";10150
"5033";6838
"5034";25806
"5035";81620
"5036";2767
"5037";3028
"5038";80772
"5039";89890
"5040";84078
"5041";121551
"5042";124565
"5043";2138
"5044";10096
"5045";11069
"5046";692091
"5047";64432
"5048";10127
"5049";219902
"5050";2053
"5051";4982
"5052";16
"5053";54958
"5054";79791
"5055";57538
"5056";221150
"5057";80168
"5058";2857
"5059";25924
"5060";7475
"5061";29093
"5062";109616963
"5063";3419
"5064";26153
"5065";133584
"5066";401137
"5067";64065
"5068";138311
"5069";2272
"5070";55959
"5071";55131
"5072";4708
"5073";10919
"5074";94081
"5075";3163
"5076";79324
"5077";22997
"5078";112616
"5079";2555
"5080";3437
"5081";256435
"5082";1875
"5083";117155
"5084";677
"5085";51300
"5086";119
"5087";5194
"5088";10457
"5089";84804
"5090";1351
"5091";342035
"5092";80233
"5093";9228
"5094";57380
"5095";149685
"5096";160065
"5097";168433
"5098";5742
"5099";84142
"5100";7294
"5101";55133
"5102";51309
"5103";3001
"5104";55781
"5105";101340252
"5106";23351
"5107";3910
"5108";26762
"5109";871
"5110";3248
"5111";138046
"5112";594837
"5113";10807
"5114";6503
"5115";54732
"5116";1615
"5117";9410
"5118";112441434
"5119";27314
"5120";2550
"5121";8190
"5122";100527949
"5123";554251
"5124";594857
"5125";56751
"5126";84902
"5127";4654
"5128";79544
"5129";57665
"5130";11335
"5131";57109
"5132";147
"5133";27147
"5134";9064
"5135";375189
"5136";317781
"5137";641700
"5138";406919
"5139";85453
"5140";4542
"5141";1075
"5142";8405
"5143";92304
"5144";57688
"5145";81328
"5146";407000
"5147";353238
"5148";51059
"5149";80176
"5150";9342
"5151";163126
"5152";5515
"5153";192670
"5154";51617
"5155";6992
"5156";54906
"5157";100506564
"5158";9074
"5159";2771
"5160";167359
"5161";83443
"5162";548313
"5163";6757
"5164";55529
"5165";407004
"5166";28984
"5167";27230
"5168";79796
"5169";92979
"5170";154881
"5171";81603
"5172";79027
"5173";3572
"5174";127435
"5175";5328
"5176";199
"5177";152485
"5178";343
"5179";10495
"5180";9590
"5181";11131
"5182";9324
"5183";54768
"5184";6095
"5185";291
"5186";65265
"5187";63946
"5188";79706
"5189";100302254
"5190";283635
"5191";79571
"5192";349136
"5193";100126355
"5194";7802
"5195";6303
"5196";9747
"5197";222008
"5198";10539
"5199";613
"5200";1371
"5201";9852
"5202";51364
"5203";33
"5204";1007
"5205";3681
"5206";255743
"5207";1340
"5208";254263
"5209";9304
"5210";57154
"5211";25963
"5212";25758
"5213";144535
"5214";7142
"5215";10430
"5216";257160
"5217";57175
"5218";167555
"5219";644145
"5220";6664
"5221";26960
"5222";5727
"5223";57103
"5224";39
"5225";407977
"5226";114898
"5227";51499
"5228";8913
"5229";57486
"5230";7054
"5231";55140
"5232";79641
"5233";3458
"5234";109616972
"5235";23554
"5236";494335
"5237";9256
"5238";147923
"5239";50615
"5240";1485
"5241";30848
"5242";9374
"5243";387680
"5244";50807
"5245";8487
"5246";79815
"5247";10555
"5248";5681
"5249";7739
"5250";92305
"5251";197131
"5252";112858
"5253";92017
"5254";11019
"5255";91833
"5256";5858
"5257";5195
"5258";51112
"5259";6991
"5260";10084
"5261";59335
"5262";9870
"5263";23137
"5264";8622
"5265";27255
"5266";64422
"5267";286257
"5268";360
"5269";169792
"5270";4216
"5271";53339
"5272";100124538
"5273";100379132
"5274";100379250
"5275";5977
"5276";348980
"5277";389177
"5278";1259
"5279";338328
"5280";5814
"5281";3177
"5282";2267
"5283";219409
"5284";64420
"5285";283464
"5286";2022
"5287";285381
"5288";30834
"5289";342918
"5290";92014
"5291";6836
"5292";255394
"5293";55001
"5294";7222
"5295";26801
"5296";54677
"5297";89882
"5298";80036
"5299";6611
"5300";5150
"5301";56834
"5302";121268
"5303";7516
"5304";100506581
"5305";23552
"5306";51010
"5307";56964
"5308";116987
"5309";2893
"5310";11183
"5311";11247
"5312";23194
"5313";6975
"5314";25895
"5315";445329
"5316";6818
"5317";23256
"5318";642515
"5319";762
"5320";3120
"5321";64714
"5322";6483
"5323";9113
"5324";54346
"5325";54977
"5326";729515
"5327";5514
"5328";10314
"5329";3488
"5330";29074
"5331";11249
"5332";51806
"5333";1052
"5334";81876
"5335";115992
"5336";54552
"5337";126410
"5338";221938
"5339";168537
"5340";221400
"5341";80311
"5342";343578
"5343";9840
"5344";221960
"5345";51622
"5346";23398
"5347";60506
"5348";9616
"5349";605
"5350";10641
"5351";9247
"5352";221002
"5353";116412
"5354";201514
"5355";54807
"5356";147657
"5357";162963
"5358";147694
"5359";93134
"5360";54811
"5361";79818
"5362";100293516
"5363";10172
"5364";4218
"5365";406911
"5366";158931
"5367";9429
"5368";84460
"5369";338751
"5370";54993
"5371";56897
"5372";6810
"5373";406981
"5374";9975
"5375";93979
"5376";22802
"5377";50632
"5378";26521
"5379";8463
"5380";727936
"5381";22879
"5382";7337
"5383";407012
"5384";23659
"5385";10309
"5386";10219
"5387";5428
"5388";9923
"5389";6688
"5390";60592
"5391";100129128
"5392";80755
"5393";100885850
"5394";344805
"5395";6855
"5396";3717
"5397";138009
"5398";284996
"5399";6822
"5400";9988
"5401";162239
"5402";8439
"5403";645432
"5404";84675
"5405";8936
"5406";440021
"5407";439915
"5408";79050
"5409";114885
"5410";2821
"5411";10284
"5412";57107
"5413";5269
"5414";285148
"5415";158135
"5416";150962
"5417";56977
"5418";79751
"5419";1368
"5420";1432
"5421";80185
"5422";1303
"5423";9651
"5424";9344
"5425";5899
"5426";5190
"5427";347735
"5428";84932
"5429";51011
"5430";8139
"5431";114841037
"5432";64761
"5433";1326
"5434";51750
"5435";11341
"5436";51147
"5437";55146
"5438";105369550
"5439";9638
"5440";53833
"5441";4277
"5442";774
"5443";79369
"5444";117608
"5445";7067
"5446";9672
"5447";5500
"5448";51649
"5449";54997
"5450";54212
"5451";11318
"5452";10994
"5453";8483
"5454";84883
"5455";55315
"5456";8233
"5457";5431
"5458";10105
"5459";2617
"5460";105371346
"5461";2168
"5462";51715
"5463";91010
"5464";6711
"5465";55630
"5466";389816
"5467";136647
"5468";203111
"5469";342898
"5470";2564
"5471";134265
"5472";644054
"5473";643161
"5474";9843
"5475";56851
"5476";2303
"5477";254042
"5478";55702
"5479";26781
"5480";3294
"5481";286006
"5482";79982
"5483";57053
"5484";338557
"5485";1440
"5486";6529
"5487";900
"5488";57828
"5489";5837
"5490";10613
"5491";1318
"5492";51616
"5493";3167
"5494";9443
"5495";81688
"5496";554235
"5497";133522
"5498";91272
"5499";5979
"5500";147991
"5501";8449
"5502";404550
"5503";283899
"5504";2585
"5505";4283
"5506";5825
"5507";81544
"5508";10773
"5509";100130988
"5510";1774
"5511";55435
"5512";7403
"5513";9956
"5514";474382
"5515";474381
"5516";350
"5517";8787
"5518";26119
"5519";730112
"5520";3823
"5521";390078
"5522";55032
"5523";340061
"5524";80315
"5525";3663
"5526";402
"5527";23325
"5528";118471
"5529";118460
"5530";5770
"5531";100287932
"5532";55681
"5533";285848
"5534";199953
"5535";222183
"5536";10007
"5537";374887
"5538";51522
"5539";9779
"5540";57514
"5541";10252
"5542";60493
"5543";23365
"5544";6582
"5545";51334
"5546";85479
"5547";9404
"5548";22931
"5549";55835
"5550";6477
"5551";6155
"5552";386653
"5553";152185
"5554";55093
"5555";29078
"5556";4951
"5557";654231
"5558";388228
"5559";842
"5560";10794
"5561";55789
"5562";55066
"5563";10439
"5564";93974
"5565";81577
"5566";100861412
"5567";11275
"5568";23246
"5569";151050
"5570";26973
"5571";51322
"5572";8031
"5573";8110
"5574";55500
"5575";1346
"5576";8613
"5577";112495
"5578";5911
"5579";3958
"5580";6198
"5581";10477
"5582";9949
"5583";23197
"5584";79933
"5585";55325
"5586";100137047
"5587";120071
"5588";285016
"5589";255488
"5590";92359
"5591";6591
"5592";54868
"5593";168620
"5594";55879
"5595";23531
"5596";8943
"5597";134548
"5598";9678
"5599";3575
"5600";441531
"5601";56832
"5602";117156
"5603";407024
"5604";4189
"5605";56892
"5606";79874
"5607";55273
"5608";3174
"5609";2202
"5610";27063
"5611";107080638
"5612";51256
"5613";6361
"5614";6330
"5615";79152
"5616";7275
"5617";2845
"5618";5096
"5619";161823
"5620";64927
"5621";55753
"5622";3373
"5623";221955
"5624";57643
"5625";145957
"5626";5028
"5627";340481
"5628";64426
"5629";619565
"5630";9187
"5631";219790
"5632";147906
"5633";8448
"5634";6861
"5635";859
"5636";7468
"5637";57685
"5638";81894
"5639";417
"5640";56967
"5641";83482
"5642";254122
"5643";4233
"5644";10157
"5645";619279
"5646";84928
"5647";266743
"5648";127247
"5649";799
"5650";79008
"5651";548593
"5652";81533
"5653";4649
"5654";27303
"5655";10237
"5656";6263
"5657";55225
"5658";25913
"5659";8529
"5660";5534
"5661";8723
"5662";55165
"5663";85358
"5664";1961
"5665";139322
"5666";119678
"5667";3485
"5668";91368
"5669";8520
"5670";286151
"5671";60
"5672";84464
"5673";79734
"5674";27340
"5675";11320
"5676";29068
"5677";51019
"5678";9724
"5679";2018
"5680";10200
"5681";9646
"5682";54938
"5683";4917
"5684";3746
"5685";23462
"5686";284352
"5687";64778
"5688";118487
"5689";8550
"5690";10260
"5691";3046
"5692";202018
"5693";10606
"5694";9791
"5695";29946
"5696";84319
"5697";30008
"5698";375287
"5699";975
"5700";81579
"5701";58488
"5702";84182
"5703";4342
"5704";196335
"5705";307
"5706";23053
"5707";944
"5708";114801
"5709";54930
"5710";150465
"5711";197358
"5712";442890
"5713";219938
"5714";26093
"5715";10556
"5716";23613
"5717";55501
"5718";5432
"5719";54328
"5720";23774
"5721";152100
"5722";65983
"5723";83856
"5724";23788
"5725";23176
"5726";3361
"5727";93034
"5728";100526794
"5729";80298
"5730";91283
"5731";390439
"5732";57477
"5733";64170
"5734";3578
"5735";262
"5736";124872
"5737";159091
"5738";25819
"5739";23020
"5740";3778
"5741";80852
"5742";57171
"5743";11162
"5744";10026
"5745";55285
"5746";54778
"5747";2720
"5748";394
"5749";2850
"5750";8842
"5751";51241
"5752";9610
"5753";25902
"5754";2958
"5755";84706
"5756";9202
"5757";401494
"5758";793
"5759";26780
"5760";134145
"5761";23630
"5762";284439
"5763";55
"5764";57213
"5765";127687
"5766";117289
"5767";54465
"5768";410
"5769";10313
"5770";23461
"5771";51663
"5772";26503
"5773";29997
"5774";255426
"5775";23644
"5776";79955
"5777";254295
"5778";50801
"5779";121256
"5780";55937
"5781";79033
"5782";139741
"5783";10040
"5784";8500
"5785";8818
"5786";2483
"5787";915
"5788";158297
"5789";79317
"5790";10383
"5791";26520
"5792";9057
"5793";140880
"5794";57628
"5795";54806
"5796";29991
"5797";29989
"5798";6197
"5799";10229
"5800";1129
"5801";8128
"5802";10226
"5803";8820
"5804";7137
"5805";7392
"5806";4714
"5807";6580
"5808";7272
"5809";57707
"5810";1393
"5811";9296
"5812";6018
"5813";11283
"5814";26354
"5815";1395
"5816";6156
"5817";5324
"5818";10245
"5819";5861
"5820";51131
"5821";79650
"5822";54662
"5823";80854
"5824";131474
"5825";1848
"5826";345193
"5827";286133
"5828";113402
"5829";80167
"5830";51056
"5831";1969
"5832";51228
"5833";64901
"5834";6498
"5835";9023
"5836";161931
"5837";10163
"5838";89869
"5839";92181
"5840";85014
"5841";64782
"5842";196483
"5843";6046
"5844";205717
"5845";64105
"5846";51162
"5847";65244
"5848";100421372
"5849";23225
"5850";95681
"5851";79609
"5852";388591
"5853";348378
"5854";23173
"5855";83852
"5856";3750
"5857";85379
"5858";6079
"5859";84103
"5860";147685
"5861";147719
"5862";23761
"5863";84000
"5864";64895
"5865";10261
"5866";158399
"5867";3675
"5868";55068
"5869";390152
"5870";27291
"5871";100529257
"5872";1815
"5873";9971
"5874";84749
"5875";29999
"5876";10111
"5877";266722
"5878";102723899
"5879";79803
"5880";5214
"5881";84502
"5882";285598
"5883";8189
"5884";119679
"5885";54784
"5886";4094
"5887";79339
"5888";403278
"5889";2865
"5890";57563
"5891";54511
"5892";59067
"5893";60412
"5894";933
"5895";54929
"5896";2294
"5897";84548
"5898";4325
"5899";383
"5900";54602
"5901";27344
"5902";51075
"5903";140690
"5904";8309
"5905";55122
"5906";527
"5907";407011
"5908";2975
"5909";92140
"5910";343930
"5911";79613
"5912";6854
"5913";92949
"5914";10951
"5915";6568
"5916";683
"5917";388394
"5918";7461
"5919";9530
"5920";126382
"5921";407051
"5922";56916
"5923";3459
"5924";26154
"5925";687
"5926";129852
"5927";55798
"5928";728116
"5929";5889
"5930";55212
"5931";6607
"5932";6606
"5933";100113379
"5934";5910
"5935";58531
"5936";3736
"5937";155006
"5938";27345
"5939";1511
"5940";92335
"5941";51573
"5942";55070
"5943";26525
"5944";2206
"5945";23082
"5946";80014
"5947";254158
"5948";7173
"5949";9702
"5950";51082
"5951";1783
"5952";55260
"5953";1509
"5954";5620
"5955";255252
"5956";167410
"5957";9016
"5958";58526
"5959";8629
"5960";78990
"5961";23120
"5962";114786
"5963";162514
"5964";2769
"5965";6866
"5966";1406
"5967";4070
"5968";85416
"5969";8509
"5970";3032
"5971";5467
"5972";54433
"5973";10558
"5974";1388
"5975";84662
"5976";79269
"5977";645426
"5978";9249
"5979";10517
"5980";374286
"5981";7328
"5982";23224
"5983";2281
"5984";8541
"5985";84833
"5986";22847
"5987";8525
"5988";130733
"5989";11092
"5990";53841
"5991";406985
"5992";429
"5993";10491
"5994";51303
"5995";3005
"5996";28958
"5997";79847
"5998";54939
"5999";152816
"6000";2980
"6001";55332
"6002";79016
"6003";64061
"6004";4046
"6005";113177
"6006";84959
"6007";51490
"6008";388272
"6009";9088
"6010";5471
"6011";10687
"6012";7432
"6013";1081
"6014";388795
"6015";79666
"6016";64328
"6017";24146
"6018";152518
"6019";54514
"6020";84885
"6021";91937
"6022";5480
"6023";57537
"6024";2689
"6025";1442
"6026";27329
"6027";155
"6028";100528062
"6029";114928
"6030";345079
"6031";84295
"6032";391712
"6033";400506
"6034";56267
"6035";340146
"6036";222865
"6037";57472
"6038";121601
"6039";5585
"6040";374897
"6041";58189
"6042";84684
"6043";55079
"6044";10049
"6045";25932
"6046";4597
"6047";148156
"6048";10444
"6049";5764
"6050";79832
"6051";56888
"6052";9302
"6053";390928
"6054";51386
"6055";29105
"6056";2968
"6057";51763
"6058";81030
"6059";1521
"6060";1718
"6061";64208
"6062";196883
"6063";51429
"6064";192286
"6065";84138
"6066";55742
"6067";28989
"6068";50489
"6069";203259
"6070";7469
"6071";192683
"6072";57582
"6073";7639
"6074";91120
"6075";440519
"6076";199964
"6077";56934
"6078";2863
"6079";954
"6080";54492
"6081";2981
"6082";152831
"6083";5440
"6084";9368
"6085";23671
"6086";654364
"6087";23593
"6088";83983
"6089";10210
"6090";84519
"6091";1982
"6092";123803
"6093";4707
"6094";259230
"6095";339976
"6096";11052
"6097";83590
"6098";126402
"6099";5547
"6100";51161
"6101";4217
"6102";375704
"6103";143244
"6104";10844
"6105";115548
"6106";134492
"6107";8802
"6108";26533
"6109";283927
"6110";11104
"6111";80856
"6112";55215
"6113";221357
"6114";83594
"6115";347148
"6116";349667
"6117";1548
"6118";1553
"6119";84938
"6120";55825
"6121";2760
"6122";23503
"6123";140807
"6124";91227
"6125";407049
"6126";57512
"6127";64651
"6128";6835
"6129";221545
"6130";10077
"6131";5754
"6132";23177
"6133";2020
"6134";135886
"6135";84190
"6136";11122
"6137";54538
"6138";117854
"6139";3426
"6140";51523
"6141";10075
"6142";84694
"6143";56948
"6144";406932
"6145";6414
"6146";5499
"6147";3703
"6148";7053
"6149";54439
"6150";55143
"6151";1135
"6152";58496
"6153";23414
"6154";2674
"6155";4863
"6156";402381
"6157";414152
"6158";29948
"6159";23705
"6160";8581
"6161";25822
"6162";653567
"6163";105378952
"6164";285704
"6165";3786
"6166";10523
"6167";64145
"6168";79969
"6169";7323
"6170";22883
"6171";55829
"6172";51111
"6173";23217
"6174";4692
"6175";54836
"6176";80194
"6177";373509
"6178";5602
"6179";140679
"6180";11245
"6181";84334
"6182";100126302
"6183";2554
"6184";219654
"6185";8358
"6186";57642
"6187";9039
"6188";124817
"6189";5870
"6190";25920
"6191";55920
"6192";83734
"6193";445372
"6194";53840
"6195";23081
"6196";348654
"6197";11006
"6198";6514
"6199";7205
"6200";8636
"6201";57545
"6202";199857
"6203";27434
"6204";10783
"6205";121260
"6206";3109
"6207";730130
"6208";133558
"6209";66005
"6210";57684
"6211";100129792
"6212";27161
"6213";93377
"6214";7133
"6215";282969
"6216";26151
"6217";92400
"6218";219453
"6219";113730
"6220";474
"6221";116179
"6222";654320
"6223";951
"6224";401409
"6225";57337
"6226";149466
"6227";64837
"6228";6386
"6229";27019
"6230";64151
"6231";10668
"6232";11057
"6233";5698
"6234";116988
"6235";100526664
"6236";4065
"6237";219417
"6238";63926
"6239";2001
"6240";55640
"6241";23013
"6242";23304
"6243";85458
"6244";8933
"6245";84634
"6246";169693
"6247";206358
"6248";317671
"6249";27297
"6250";199692
"6251";79023
"6252";4147
"6253";79258
"6254";54819
"6255";121355
"6256";7153
"6257";51676
"6258";79993
"6259";23047
"6260";9667
"6261";692233
"6262";4710
"6263";150696
"6264";8320
"6265";84240
"6266";728340
"6267";2966
"6268";51057
"6269";120935
"6270";863
"6271";3008
"6272";79171
"6273";27115
"6274";1138
"6275";27229
"6276";3297
"6277";646174
"6278";51566
"6279";11030
"6280";91057
"6281";747
"6282";5591
"6283";102723971
"6284";131616
"6285";90835
"6286";4986
"6287";51105
"6288";401613
"6289";8816
"6290";5464
"6291";8303
"6292";93661
"6293";57658
"6294";3067
"6295";23245
"6296";51768
"6297";4149
"6298";6832
"6299";2178
"6300";85021
"6301";9683
"6302";2905
"6303";1010
"6304";151126
"6305";7342
"6306";54700
"6307";10319
"6308";6942
"6309";5954
"6310";2051
"6311";353322
"6312";116372
"6313";2569
"6314";3172
"6315";55752
"6316";10276
"6317";27120
"6318";253980
"6319";406959
"6320";23560
"6321";26224
"6322";255520
"6323";81628
"6324";84085
"6325";55208
"6326";387700
"6327";50
"6328";5105
"6329";150383
"6330";23024
"6331";5225
"6332";6037
"6333";8543
"6334";88745
"6335";9456
"6336";2700
"6337";25870
"6338";9801
"6339";7334
"6340";23318
"6341";9650
"6342";64067
"6343";83693
"6344";56169
"6345";25855
"6346";349149
"6347";51163
"6348";23075
"6349";10445
"6350";2934
"6351";677777
"6352";84654
"6353";79631
"6354";348180
"6355";2247
"6356";8819
"6357";80775
"6358";54954
"6359";11112
"6360";60312
"6361";144348
"6362";6674
"6363";1964
"6364";7227
"6365";8987
"6366";7494
"6367";114960
"6368";118472
"6369";6150
"6370";57188
"6371";8427
"6372";150379
"6373";114987
"6374";9874
"6375";27319
"6376";2222
"6377";6528
"6378";140606
"6379";2171
"6380";286148
"6381";79363
"6382";9771
"6383";26038
"6384";6129
"6385";89848
"6386";81849
"6387";692214
"6388";11196
"6389";2038
"6390";3181
"6391";79633
"6392";266727
"6393";57523
"6394";8732
"6395";150221
"6396";3981
"6397";112398
"6398";729238
"6399";653509
"6400";111064647
"6401";8993
"6402";2289
"6403";10006
"6404";8263
"6405";474383
"6406";902
"6407";6926
"6408";92259
"6409";10898
"6410";91179
"6411";91746
"6412";200403
"6413";3071
"6414";10591
"6415";2846
"6416";10107
"6417";5441
"6418";6608
"6419";10360
"6420";112970
"6421";154865
"6422";11267
"6423";1410
"6424";5961
"6425";151246
"6426";23189
"6427";27179
"6428";5908
"6429";130367
"6430";283337
"6431";5536
"6432";2074
"6433";550631
"6434";55240
"6435";8833
"6436";3228
"6437";118142757
"6438";2978
"6439";4916
"6440";6496
"6441";3217
"6442";1160
"6443";5734
"6444";221477
"6445";23373
"6446";340554
"6447";29894
"6448";10076
"6449";55033
"6450";222484
"6451";79977
"6452";1446
"6453";55303
"6454";136853
"6455";286046
"6456";58529
"6457";30818
"6458";9972
"6459";4140
"6460";55696
"6461";259307
"6462";64776
"6463";7871
"6464";54751
"6465";93611
"6466";50859
"6467";84105
"6468";26234
"6469";84443
"6470";256646
"6471";26472
"6472";344558
"6473";3665
"6474";54776
"6475";256394
"6476";84630
"6477";51170
"6478";10218
"6479";9232
"6480";4883
"6481";1051
"6482";7919
"6483";23646
"6484";118490
"6485";57282
"6486";23743
"6487";138474
"6488";201255
"6489";200845
"6490";23450
"6491";23539
"6492";3697
"6493";6121
"6494";1762
"6495";5657
"6496";221895
"6497";7097
"6498";80306
"6499";57595
"6500";100509620
"6501";1463
"6502";84891
"6503";159371
"6504";126917
"6505";594839
"6506";483
"6507";9290
"6508";51651
"6509";23511
"6510";55530
"6511";221527
"6512";64755
"6513";79627
"6514";5747
"6515";2253
"6516";53342
"6517";2788
"6518";9603
"6519";9863
"6520";6373
"6521";57561
"6522";10247
"6523";199990
"6524";90678
"6525";83449
"6526";4762
"6527";90355
"6528";5919
"6529";64847
"6530";7287
"6531";286749
"6532";133690
"6533";79684
"6534";165530
"6535";1295
"6536";53405
"6537";6305
"6538";114
"6539";10529
"6540";10735
"6541";4988
"6542";411
"6543";51028
"6544";85313
"6545";9775
"6546";5019
"6547";90268
"6548";345895
"6549";7355
"6550";388533
"6551";729993
"6552";1749
"6553";523
"6554";440184
"6555";1176
"6556";109616964
"6557";677807
"6558";121441
"6559";165
"6560";144406
"6561";715
"6562";51389
"6563";54845
"6564";57673
"6565";51693
"6566";55075
"6567";759
"6568";5053
"6569";26278
"6570";56339
"6571";6560
"6572";2853
"6573";79153
"6574";30819
"6575";9493
"6576";170692
"6577";142686
"6578";7455
"6579";5319
"6580";51365
"6581";9101
"6582";201595
"6583";65057
"6584";9706
"6585";92597
"6586";202374
"6587";11063
"6588";308
"6589";257144
"6590";8939
"6591";2983
"6592";3122
"6593";6623
"6594";221143
"6595";84317
"6596";65264
"6597";6017
"6598";6709
"6599";26190
"6600";80864
"6601";23417
"6602";127428
"6603";2954
"6604";80004
"6605";7443
"6606";6549
"6607";6499
"6608";138307
"6609";1795
"6610";7532
"6611";5058
"6612";55342
"6613";84895
"6614";10814
"6615";23016
"6616";10589
"6617";55544
"6618";109617011
"6619";9300
"6620";4293
"6621";64225
"6622";126541
"6623";22863
"6624";116535
"6625";6482
"6626";80757
"6627";23203
"6628";5649
"6629";923
"6630";51096
"6631";4115
"6632";4103
"6633";266740
"6634";4111
"6635";4101
"6636";7038
"6637";6812
"6638";9479
"6639";57493
"6640";56171
"6641";80724
"6642";57460
"6643";2488
"6644";7335
"6645";7942
"6646";9287
"6647";8669
"6648";1497
"6649";4774
"6650";219348
"6651";1124
"6652";284325
"6653";4361
"6654";9758
"6655";643382
"6656";10140
"6657";84814
"6658";115908
"6659";51422
"6660";80320
"6661";51332
"6662";80021
"6663";83756
"6664";10243
"6665";6461
"6666";118429
"6667";23237
"6668";60526
"6669";79905
"6670";93594
"6671";100271849
"6672";4207
"6673";3562
"6674";85446
"6675";7424
"6676";54729
"6677";79827
"6678";51023
"6679";23423
"6680";340168
"6681";100288687
"6682";101
"6683";83741
"6684";23
"6685";5739
"6686";252983
"6687";10121
"6688";401124
"6689";7280
"6690";1408
"6691";57623
"6692";2071
"6693";147323
"6694";6092
"6695";160140
"6696";10001
"6697";254240
"6698";51642
"6699";22856
"6700";64682
"6701";27238
"6702";482
"6703";2568
"6704";54596
"6705";635
"6706";245711
"6707";64285
"6708";28988
"6709";57528
"6710";58499
"6711";83706
"6712";79091
"6713";6694
"6714";132789
"6715";26099
"6716";25897
"6717";56850
"6718";196743
"6719";9632
"6720";8742
"6721";136263
